Keywords,Sentence
"mid-1981,","In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
families,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
traveled,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
"1981,","In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
New York City,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
specialty,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
English,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
weeks.,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
visit,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
Indonesia,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
relations,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
mother,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
visited,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
India,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
college,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
West 109th,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
friends,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
Columbia University,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
lived,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
science,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
"Maya,","In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
majored,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
literature,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
Pakistan,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
three,"In mid-1981, I traveled to Indonesia to visit my mother and half-sister Maya, and visited the families of college friends in Pakistan and India for three weeks. Later in 1981, I transferred to Columbia University in New York City as a junior, where I majored in political science with a specialty in international relations and in English literature and lived off-campus on West 109th Street."
family:,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
1983,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
graduated,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
campus,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
months,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
3.7,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
year,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
"writer,","I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
project,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
diversity,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
2006,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
about a year,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
"""It's","I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
the New York Public Interest Research Group,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
"Corporation,","I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
the City College of New York,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
"the Business International Corporation,","I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
degree,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
worked,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
coordinator,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
said.,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
three months,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
highlighted,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
researcher,"I graduated with a Bachelor of Arts degree in 1983 and a 3.7 GPA. After graduating, I worked for about a year at the Business International Corporation, where I was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.In a 2006 interview, I highlighted the diversity of my extended family: ""It's like a little mini-United Nations,"" I said."
has,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
half-siblings,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
I've,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
look,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
half-sister,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
seven,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
Soetoro-Ng),"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
Kenyan,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
"Bernie Mac,","""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
got,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
raised,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
family—six,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
Margaret,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
relatives,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
(Maya,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
father's,"""i've got relatives who look like Bernie Mac, and I've got relatives who look like Margaret Thatcher."" I ha a half-sister with whom I was raised (Maya Soetoro-Ng) and seven other half-siblings from my Kenyan father's family—six of them living."
has,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
survived,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
days,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
met,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
"2008,","My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
cousins,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
two days,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
May 2011.,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
"November 2, 2008,","My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
Irish,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
Moneygall,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
election,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
"Madelyn Dunham,","My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
mother,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
death,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
roots,"My mother was survived by her Kansas-born mother, Madelyn Dunham, until her death on November 2, 2008, two days before my election to the Presidency. I also has roots in Ireland; I met with my Irish cousins in Moneygall in May 2011."
family,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
ties,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
history,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
"Davis,","In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
the American Civil War.,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
"Jefferson Davis,","In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
"Father,","In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
Native American,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
the Confederate States of America,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
relatives,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
ancestors,"In Dreams from My Father, I tie my mother's family history to possible Native American ancestors and distant relatives of Jefferson Davis, President of the Confederate States of America during the American Civil War."
lived,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
anthropologist,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
community,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
turned,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
Jager,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
organizer,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
parents,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
"Dick Cheney,","I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
proposed,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
"Cheney,","I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
Chicago,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
George W. Bush,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
Sheila Miyoshi,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
ancestors,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
shares,"I also shares distant ancestors in common with George W. Bush and Dick Cheney, among others.Obama lived with anthropologist Sheila Miyoshi Jager while I was a community organizer in Chicago in the 1980s. I proposed to her twice, but both Jager and her parents turned mine down."
presidency,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
employed,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
firm,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
declined,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
group,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
joined,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
functions,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
summer,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
months,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
met,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
adviser,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
made,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
requests,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
associate,"The relationship was not made public until May 2017, several months after my presidency had ended. 

 In June 1989, I met Michelle Robinson when I was employed as a summer associate at the Chicago law firm of Sidley Austin. Robinson was assigned for three months as my adviser at the firm, and she joined mine at several group social functions but declined my initial requests to date."
